"Occur","Damage_Area","Damage_Claim","Damage_Employee","Damage_Goods","Damage_Revenue","Damage_Sites","Fire_Area","Fire_Claim","Fire_Employee","Fire_Goods","Fire_Revenue","Fire_Sites","HSS_Area","HSS_Claim","HSS_Employee","HSS_Goods","HSS_Revenue","HSS_Sites","Other_Area","Other_Claim","Other_Employee","Other_Goods","Other_Revenue","Other_Sites","Thief_Area","Thief_Claim","Thief_Employee","Thief_Goods","Thief_Revenue","Thief_Sites","TPL_Area","TPL_Claim","TPL_Employee","TPL_Goods","TPL_Revenue","TPL_Sites"
1992-01-01,"(1e+04,Inf]",15380,"(1e+03,Inf]","(1e+05,2e+05]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",20281,"(1e+03,Inf]","(0,1e+05]","(1e+03,5e+03]","(0,10]","(0,5e+03]",85055,"(1e+03,Inf]","(0,1e+05]","(1e+03,5e+03]","(0,10]","(5e+03,1e+04]",6972,"(0,500]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(1e+04,Inf]",14183,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(0,5e+03]",1181,"(0,500]","(0,1e+05]","(1e+03,5e+03]","(0,10]"
1992-01-04,"(1e+04,Inf]",8492,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",23083,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(0,5e+03]",3507,"(1e+03,Inf]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(5e+03,1e+04]",3338,"(0,500]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(0,5e+03]",2282,"(1e+03,Inf]","(0,1e+05]","(5e+03,Inf]","(0,10]","(0,5e+03]",1170,"(0,500]","(0,1e+05]","(0,1e+03]","(0,10]"
1992-01-07,"(1e+04,Inf]",10042,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(0,5e+03]",9241,"(500,1e+03]","(0,1e+05]","(1e+03,5e+03]","(20,Inf]","(0,5e+03]",7538,"(500,1e+03]","(0,1e+05]","(1e+03,5e+03]","(10,20]","(5e+03,1e+04]",31849,"(0,500]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(1e+04,Inf]",84163,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(0,5e+03]",888,"(0,500]","(0,1e+05]","(1e+03,5e+03]","(0,10]"
1992-01-10,"(1e+04,Inf]",46842,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(1e+04,Inf]",255309,"(1e+03,Inf]","(1e+05,2e+05]","(5e+03,Inf]","(10,20]","(0,5e+03]",2144,"(0,500]","(0,1e+05]","(0,1e+03]","(0,10]","(5e+03,1e+04]",19502,"(0,500]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(5e+03,1e+04]",29643,"(1e+03,Inf]","(0,1e+05]","(1e+03,5e+03]","(0,10]","(0,5e+03]",4600,"(1e+03,Inf]","(0,1e+05]","(1e+03,5e+03]","(0,10]"
1992-01-13,"(1e+04,Inf]",216927,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",898495,"(1e+03,Inf]","(0,1e+05]","(5e+03,Inf]","(10,20]","(0,5e+03]",7464,"(0,500]","(0,1e+05]","(0,1e+03]","(0,10]","(5e+03,1e+04]",58366,"(0,500]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(5e+03,1e+04]",27174,"(1e+03,Inf]","(2e+05,Inf]","(1e+03,5e+03]","(20,Inf]","(5e+03,1e+04]",8206,"(500,1e+03]","(0,1e+05]","(0,1e+03]","(0,10]"
1992-01-16,"(5e+03,1e+04]",22001,"(1e+03,Inf]","(1e+05,2e+05]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",4251,"(1e+03,Inf]","(0,1e+05]","(1e+03,5e+03]","(0,10]","(0,5e+03]",2911,"(0,500]","(1e+05,2e+05]","(0,1e+03]","(0,10]","(5e+03,1e+04]",4519,"(0,500]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(5e+03,1e+04]",55555,"(1e+03,Inf]","(1e+05,2e+05]","(5e+03,Inf]","(10,20]","(0,5e+03]",778,"(0,500]","(0,1e+05]","(0,1e+03]","(0,10]"
1992-01-19,"(1e+04,Inf]",53857,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",608834,"(1e+03,Inf]","(1e+05,2e+05]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",6626,"(1e+03,Inf]","(1e+05,2e+05]","(1e+03,5e+03]","(20,Inf]","(0,5e+03]",1383,"(0,500]","(0,1e+05]","(0,1e+03]","(0,10]","(5e+03,1e+04]",52428,"(1e+03,Inf]","(1e+05,2e+05]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",2565,"(0,500]","(0,1e+05]","(5e+03,Inf]","(0,10]"
1992-01-22,"(5e+03,1e+04]",14329,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(1e+04,Inf]",42179,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(0,5e+03]",14950,"(1e+03,Inf]","(0,1e+05]","(1e+03,5e+03]","(0,10]","(5e+03,1e+04]",26571,"(0,500]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(5e+03,1e+04]",12113,"(1e+03,Inf]","(1e+05,2e+05]","(1e+03,5e+03]","(20,Inf]","(0,5e+03]",3740,"(0,500]","(0,1e+05]","(1e+03,5e+03]","(0,10]"
1992-01-25,"(1e+04,Inf]",97619,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",87085,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(10,20]","(1e+04,Inf]",726,"(1e+03,Inf]","(0,1e+05]","(0,1e+03]","(0,10]","(0,5e+03]",623,"(0,500]","(0,1e+05]","(1e+03,5e+03]","(0,10]","(5e+03,1e+04]",149306,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(5e+03,1e+04]",21360,"(0,500]","(0,1e+05]","(5e+03,Inf]","(0,10]"
1992-01-28,"(1e+04,Inf]",61599,"(1e+03,Inf]","(2e+05,Inf]","(5e+03,Inf]","(20,Inf]","(0,5e+03]",10638,"(1e+03,Inf]","(0,1e+05]","(1e+03,5e+03]","(0,10]","(0,5e+03]",23140,"(1e+03,Inf]","(2e+05,Inf]","(1e+03,5e+03]","(10,20]","(5e+03,1e+04]",9965,"(0,500]","(1e+05,2e+05]","(5e+03,Inf]","(0,10]","(0,5e+03]",6325,"(500,1e+03]","(1e+05,2e+05]","(1e+03,5e+03]","(10,20]","(5e+03,1e+04]",19081,"(1e+03,Inf]","(0,1e+05]","(5e+03,Inf]","(0,10]"
